WKT,fid,cng_(Meter
"LINESTRING (585611.460565548855811 5036866.925289634615183,585631.132463609217666 5036858.568430684506893,585650.804361669695936 5036850.211571733467281,585670.476259730057791 5036841.854712783358991,585690.148157790419646 5036833.497853832319379,585709.8200558507815 5036825.140994882211089,585729.49195391125977 5036816.784135932102799,585749.163851971621625 5036808.427276981063187,585768.83575003198348 5036800.070418030954897,585788.50764809246175 5036791.713559080846608,585808.179546152823605 5036783.356700129806995,585827.851444213185459 5036774.999841179698706,585847.523342273663729 5036766.642982228659093,585867.195240334025584 5036758.286123278550804,585886.867138394387439 5036749.929264328442514,585906.539036454749294 5036741.572405377402902,585926.210934515227564 5036733.215546427294612,585945.882832575589418 5036724.858687476255,585965.554730635951273 5036716.50182852614671,585985.226628696429543 5036708.14496957603842,586004.898526756791398 5036699.788110624998808,586024.570424817153253 5036691.431251674890518,586044.242322877631523 5036683.074392724782228,586063.914220937993377 5036674.717533773742616,586083.586118998355232 5036666.360674823634326,586103.258017058717087 5036658.003815872594714,586122.929915119195357 5036649.646956922486424,586142.601813179557212 5036641.290097972378135,586162.273711239919066 5036632.933239021338522,586181.945609300397336 5036624.576380071230233,586201.617507360759191 5036616.21952112019062,586221.289405421121046 5036607.862662170082331,586240.961303481599316 5036599.505803219974041,586260.633201541961171 5036591.148944268934429,586280.305099602323025 5036582.792085318826139,586299.97699766268488 5036574.435226367786527,586319.64889572316315 5036566.078367417678237,586339.320793783525005 5036557.721508467569947,586358.99269184388686 5036549.364649516530335,586378.66458990436513 5036541.007790566422045,586398.336487964726985 5036532.650931616313756,586418.008386025088839 5036524.294072665274143,586437.680284085450694 5036515.937213715165854,586457.352182145928964 5036507.580354764126241,586477.024080206290819 5036499.223495814017951,586496.695978266652673 5036490.866636863909662,586516.367876327130944 5036482.509777912870049,586536.039774387492798 5036474.15291896276176,586555.711672447854653 5036465.796060011722147,586575.383570508332923 5036457.439201061613858,586595.055468568694778 5036449.082342111505568,586614.727366629056633 5036440.725483160465956,586634.399264689418487 5036432.368624210357666,586651.688149573514238 5036420.32120671402663,586667.399611232802272 5036405.830843111500144,586683.111072892206721 5036391.340479508042336,586698.822534551494755 5036376.85011590551585,586714.533996210782789 5036362.359752302989364,586730.245457870070823 5036347.869388699531555,586745.956919529358856 5036333.379025097005069,586761.668381188763306 5036318.888661493547261,586777.379842848051339 5036304.398297891020775,586793.091304507339373 5036289.907934288494289,586808.802766166627407 5036275.41757068503648,586824.514227826031856 5036260.927207082509995,586840.22568948531989 5036246.436843479052186,586855.937151144607924 5036231.9464798765257,586871.648612803895958 5036217.456116273999214,586887.360074463300407 5036202.965752670541406,586903.071536122588441 5036188.47538906801492,586918.782997781876475 5036173.985025464557111,586934.494459441164508 5036159.494661862030625,586950.205921100452542 5036145.004298259504139,586965.917382759856991 5036130.513934656046331,586981.628844419145025 5036116.023571053519845,586997.340306078433059 5036101.533207450062037,587013.051767737721093 5036087.042843847535551,587028.763229397125542 5036072.552480244077742,587044.474691056413576 5036058.062116641551256,587060.18615271570161 5036043.57175303902477,587075.897614374989644 5036029.081389435566962,587091.609076034394093 5036014.591025833040476,587107.320537693682127 5036000.100662229582667,587123.031999352970161 5035985.610298627056181,587138.743461012258194 5035971.119935024529696,587154.454922671662644 5035956.629571421071887,587170.166384330950677 5035942.139207818545401,587185.877845990238711 5035927.648844215087593,587201.589307649526745 5035913.158480612561107,587217.300769308814779 5035898.668117010034621,587233.012230968219228 5035884.177753406576812,587248.723692627507262 5035869.687389804050326,587264.435154286795296 5035855.197026200592518,587280.14661594608333 5035840.706662598066032,587295.858077605487779 5035826.216298994608223,587311.569539264775813 5035811.725935392081738,587327.281000924063846 5035797.235571789555252,587342.99246258335188 5035782.745208186097443,587358.703924242756329 5035768.254844583570957,587374.415385902044363 5035753.764480980113149,587390.126847561332397 5035739.274117377586663)",0,2137
"LINESTRING (584879.068567073089071 5036037.656042682938278,584899.404173381160945 5036054.709410780109465,584919.739779689116403 5036071.76277887634933,584940.075385997188278 5036088.816146973520517,584960.410992305260152 5036105.869515070691705,584980.746598613332026 5036122.922883167862892,585001.082204921287484 5036139.976251264102757,585021.417811229359359 5036157.029619361273944,585041.753417537431233 5036174.082987458445132,585062.089023845386691 5036191.136355555616319,585082.424630153458565 5036208.189723651856184,585102.76023646153044 5036225.243091749027371,585123.095842769602314 5036242.296459846198559,585143.431449077557772 5036259.349827942438424,585163.767055385629646 5036276.403196039609611,585184.102661693701521 5036293.456564136780798,585204.438268001656979 5036310.509932233951986,585224.773874309728853 5036327.563300330191851,585245.109480617800727 5036344.616668427363038,585265.445086925872602 5036361.670036524534225,585285.78069323382806 5036378.723404621705413,585306.116299541899934 5036395.776772717945278,585326.451905849971808 5036412.830140815116465,585346.787512157927267 5036429.883508912287652,585367.123118465999141 5036446.936877008527517,585387.458724774071015 5036463.990245105698705,585407.794331082142889 5036481.043613202869892,585428.129937390098348 5036498.09698130004108,585448.465543698170222 5036515.150349396280944,585468.801150006242096 5036532.203717493452132,585489.136756314197555 5036549.257085590623319,585509.472362622269429 5036566.310453687794507,585529.807968930341303 5036583.363821784034371,585550.143575238413177 5036600.417189881205559,585570.479181546368636 5036617.470557978376746,585590.81478785444051 5036634.523926074616611,585611.150394162512384 5036651.577294171787798,585631.486000470584258 5036668.630662268958986,585651.821606778539717 5036685.684030366130173,585672.157213086611591 5036702.737398462370038,585692.492819394683465 5036719.790766559541225,585712.828425702638924 5036736.844134656712413,585733.164032010710798 5036753.8975027538836,585753.499638318782672 5036770.950870850123465,585773.835244626854546 5036788.004238947294652,585794.170850934810005 5036805.05760704446584,585814.506457242881879 5036822.110975141637027,585834.842063550953753 5036839.164343237876892,585855.177669858909212 5036856.217711335048079,585875.513276166981086 5036873.271079432219267,585895.84888247505296 5036890.324447528459132,585916.184488783124834 5036907.377815625630319,585936.520095091080293 5036924.431183722801507,585956.855701399152167 5036941.484551819972694,585977.191307707224041 5036958.537919916212559,585997.496626431471668 5036975.627311061136425,586017.788419331074692 5036992.732789373025298,586038.080212230677716 5037009.838267684914172,586058.372005130280741 5037026.943745997734368,586078.663798029883765 5037044.049224309623241,586098.955590929486789 5037061.154702621512115,586119.247383829089813 5037078.260180933400989,586139.539176728692837 5037095.365659245289862,586159.830969628295861 5037112.471137558110058,586180.122762527898885 5037129.576615869998932,586200.414555427501909 5037146.682094181887805,586220.706348326988518 5037163.787572493776679,586240.998141226591542 5037180.893050805665553,586261.289934126194566 5037197.998529117554426,586281.581727025797591 5037215.104007430374622,586301.873519925400615 5037232.209485742263496,586322.165312825003639 5037249.314964054152369,586342.457105724606663 5037266.420442366041243,586362.748898624209687 5037283.525920677930117,586383.040691523812711 5037300.631398990750313,586403.332484423415735 5037317.736877302639186,586423.624277323018759 5037334.84235561452806,586443.916070222621784 5037351.947833926416934,586464.181698733125813 5037369.084268175065517,586484.428698568954132 5037386.242742612026632,586504.675698404782452 5037403.401217049919069,586524.922698240727186 5037420.559691486880183,586545.169698076555505 5037437.718165923841298,586565.416697912383825 5037454.876640360802412,586585.663697748328559 5037472.035114797763526,586605.910697584156878 5037489.193589235655963,586626.157697419985197 5037506.352063672617078,586646.404697255929932 5037523.510538109578192,586666.651697091758251 5037540.669012546539307,586686.89869692758657 5037557.827486984431744,586707.145696763531305 5037574.985961421392858,586727.392696599359624 5037592.144435858353972,586747.639696435187943 5037609.302910295315087,586767.886696271132678 5037626.461384732276201,586788.133696106960997 5037643.619859170168638,586808.380695942789316 5037660.778333607129753,586828.627695778734051 5037677.936808044090867,586848.87469561456237 5037695.095282481051981,586869.121695450390689 5037712.253756918944418,586889.368695286335424 5037729.412231355905533,586909.615695122163743 5037746.570705792866647)",1,2653
"LINESTRING (585859.466321646352299 5037576.066748475655913,585868.94941294984892 5037557.442298888228834,585878.432504253229126 5037538.817849301733077,585887.915595556725748 5037520.193399714305997,585897.398686860222369 5037501.56895012781024,585906.881778163602576 5037482.94450054038316,585916.364869467099197 5037464.320050953887403,585925.847960770595819 5037445.695601366460323,585935.331052073976025 5037427.071151779964566,585944.814143377472647 5037408.446702192537487,585954.297234680969268 5037389.822252606041729,585963.780325984349474 5037371.19780301861465,585973.263417287846096 5037352.573353432118893,585982.746508591342717 5037333.948903844691813,585992.229599894722924 5037315.324454258196056,586001.712691198219545 5037296.700004670768976,586011.195782501716167 5037278.075555084273219,586020.678873805096373 5037259.451105496846139,586030.161965108592995 5037240.826655910350382,586039.645056412089616 5037222.202206322923303,586049.128147715469822 5037203.577756736427546,586058.611239018966444 5037184.953307149000466,586068.094330322463065 5037166.328857562504709,586077.577421625843272 5037147.704407975077629,586087.060512929339893 5037129.079958388581872,586096.543604232836515 5037110.455508801154792,586106.026695536216721 5037091.831059214659035,586115.509786839713342 5037073.206609627231956,586124.992878143209964 5037054.582160040736198,586134.47596944659017 5037035.957710453309119,586143.959060750086792 5037017.333260866813362,586153.442152053583413 5036998.708811279386282,586162.92524335696362 5036980.084361692890525,586172.408334660460241 5036961.459912105463445,586181.891425963956863 5036942.835462518036366,586191.374517267337069 5036924.211012931540608,586200.85760857083369 5036905.586563344113529,586210.340699874330312 5036886.962113757617772,586219.823791177826934 5036868.337664170190692,586229.30688248120714 5036849.713214583694935,586238.789973784703761 5036831.088764996267855,586248.273065088200383 5036812.464315409772098,586257.756156391580589 5036793.839865822345018,586267.239247695077211 5036775.215416235849261,586276.722338998573832 5036756.590966648422182,586286.205430301954038 5036737.966517061926425,586300.11697103176266 5036722.966549101285636,586316.499010101426393 5036709.988570097833872,586332.881049171090126 5036697.010591094382107,586349.263088240753859 5036684.032612090930343,586365.645127310417593 5036671.054633088409901,586382.027166380081326 5036658.076654084958136,586398.409205449745059 5036645.098675081506371,586414.791244519408792 5036632.120696078054607,586431.173283589072526 5036619.142717075534165,586447.555322658619843 5036606.1647380720824,586463.937361728283577 5036593.186759068630636,586480.31940079794731 5036580.208780065178871,586496.701439867611043 5036567.230801062658429,586513.083478937274776 5036554.252822059206665,586529.46551800693851 5036541.2748430557549,586545.847557076602243 5036528.296864052303135,586562.229596146265976 5036515.318885049782693,586578.611635215813294 5036502.340906046330929,586594.993674285477027 5036489.362927042879164,586611.375713355140761 5036476.3849480394274,586627.757752424804494 5036463.406969036906958,586644.139791494468227 5036450.428990033455193,586660.52183056413196 5036437.451011030003428,586676.903869633795694 5036424.473032026551664,586693.285908703459427 5036411.495053024031222,586709.66794777312316 5036398.517074020579457,586726.049986842670478 5036385.539095017127693,586742.432025912334211 5036372.561116013675928,586758.814064981997944 5036359.583137011155486,586775.196104051661678 5036346.605158007703722,586791.578143121325411 5036333.627179004251957,586807.960182190989144 5036320.6492,586824.342221260652877 5036307.67122099827975,586840.724260330316611 5036294.693241994827986,586857.106299399863929 5036281.715262991376221,586873.488338469527662 5036268.737283987924457,586889.870377539191395 5036255.759304985404015,586906.252416608855128 5036242.78132598195225,586922.634455678518862 5036229.803346978500485,586939.016494748182595 5036216.825367975048721,586955.398533817846328 5036203.847388972528279,586971.780572887510061 5036190.869409969076514,586988.162611957057379 5036177.89143096562475,587004.544651026721112 5036164.913451962172985,587020.926690096384846 5036151.935472959652543,587037.308729166048579 5036138.957493956200778,587053.690768235712312 5036125.979514952749014,587070.072807305376045 5036113.001535949297249,587086.454846375039779 5036100.023556945845485,587102.836885444703512 5036087.045577943325043,587119.218924514367245 5036074.067598939873278,587135.600963583914563 5036061.089619936421514,587151.983002653578296 5036048.111640932969749,587168.36504172324203 5036035.133661930449307)",2,2069
