1,482830.945528893,4736415.33906402
1,482791.5173,4736414.4648
1,482778.9289,4736406.702
1,482748.4837,4736402.5525
1,482711.3596,4736401.2587
1,482684.7025,4736405.21
1,482651.623,4736417.542
1,482627.5069,4736426.6336
1,482616.2007,4736437.0307
1,482593.378399999,4736444.3389
1,482564.599899999,4736440.271
1,482533.1989,4736422.8338
1,482506.3437,4736397.1907
1,482485.363,4736365.9296
1,482476.6444,4736335.7641
1,482474.0335,4736309.7947
1,482476.0383,4736281.9604
1,482481.5399,4736253.3567
1,482492.2167,4736229.8118
1,482502.1942,4736210.1366
1,482500.189299999,4736194.9373
1,482512.544599998,4736182.4888
1,482517.486699999,4736166.94237069
