WKT,element
"POLYGON ((378741.809 4657827.499 0.0,378759.469 4657826.229 0.0,378747.999 4657808.499 0.0,378741.809 4657827.499 0.0))",45
"POLYGON ((378667.309 4658059.499 0.0,378668.409 4658073.999 0.0,378684.679 4658071.139 0.0,378667.309 4658059.499 0.0))",46
"POLYGON ((378668.409 4658073.999 0.0,378682.099 4658085.999 0.0,378684.679 4658071.139 0.0,378668.409 4658073.999 0.0))",47
"POLYGON ((378669.409 4658086.499 0.0,378682.099 4658085.999 0.0,378668.409 4658073.999 0.0,378669.409 4658086.499 0.0))",48
"POLYGON ((378799.669 4657833.449 0.0,378778.999 4657837.499 0.0,378792.989 4657856.699 0.0,378799.669 4657833.449 0.0))",49
"POLYGON ((378813.579 4657962.819 0.0,378825.809 4657986.999 0.0,378831.589 4657967.999 0.0,378813.579 4657962.819 0.0))",50
"POLYGON ((378414.079 4656823.079 0.0,378424.049 4656843.129 0.0,378446.079 4656834.829 0.0,378414.079 4656823.079 0.0))",51
"POLYGON ((378887.499 4657724.809 0.0,378877.809 4657709.999 0.0,378869.089 4657725.999 0.0,378887.499 4657724.809 0.0))",52
"POLYGON ((378894.539 4657706.119 0.0,378877.809 4657709.999 0.0,378887.499 4657724.809 0.0,378894.539 4657706.119 0.0))",53
"POLYGON ((378887.499 4657724.809 0.0,378899.589 4657737.499 0.0,378905.499 4657718.499 0.0,378887.499 4657724.809 0.0))",54
"POLYGON ((378905.499 4657718.499 0.0,378894.539 4657706.119 0.0,378887.499 4657724.809 0.0,378905.499 4657718.499 0.0))",55
"POLYGON ((378918.859 4657626.609 0.0,378929.089 4657641.999 0.0,378934.999 4657622.499 0.0,378918.859 4657626.609 0.0))",56
"POLYGON ((378836.849 4657871.359 0.0,378854.809 4657891.499 0.0,378860.499 4657871.999 0.0,378836.849 4657871.359 0.0))",57
"POLYGON ((378738.209 4657900.659 0.0,378740.549 4657881.359 0.0,378721.759 4657885.659 0.0,378738.209 4657900.659 0.0))",58
"POLYGON ((378755.909 4657920.499 0.0,378738.209 4657900.659 0.0,378735.909 4657920.499 0.0,378755.909 4657920.499 0.0))",59
"POLYGON ((378792.989 4657856.699 0.0,378803.089 4657881.499 0.0,378809.089 4657862.499 0.0,378792.989 4657856.699 0.0))",60
"POLYGON ((378366.939 4656732.819 0.0,378352.139 4656756.709 0.0,378378.669 4656750.369 0.0,378366.939 4656732.819 0.0))",61
"POLYGON ((378729.189 4658203.499 0.0,378744.979 4658207.229 0.0,378747.069 4658188.859 0.0,378729.189 4658203.499 0.0))",62
"POLYGON ((378744.979 4658207.229 0.0,378762.089 4658197.499 0.0,378747.069 4658188.859 0.0,378744.979 4658207.229 0.0))",63
"POLYGON ((378762.089 4658197.499 0.0,378744.979 4658207.229 0.0,378757.499 4658216.499 0.0,378762.089 4658197.499 0.0))",64
"POLYGON ((378799.669 4657833.449 0.0,378814.309 4657846.499 0.0,378820.409 4657827.499 0.0,378799.669 4657833.449 0.0))",65
"POLYGON ((378799.669 4657833.449 0.0,378785.189 4657818.499 0.0,378778.999 4657837.499 0.0,378799.669 4657833.449 0.0))",66
"POLYGON ((378767.689 4658178.499 0.0,378747.069 4658188.859 0.0,378762.089 4658197.499 0.0,378767.689 4658178.499 0.0))",67
"POLYGON ((378791.909 4657784.499 0.0,378776.999 4657782.539 0.0,378785.689 4657803.499 0.0,378791.909 4657784.499 0.0))",68
"POLYGON ((378754.089 4657789.499 0.0,378776.999 4657782.539 0.0,378760.189 4657770.499 0.0,378754.089 4657789.499 0.0))",69
"POLYGON ((378754.089 4657789.499 0.0,378767.279 4657804.809 0.0,378776.999 4657782.539 0.0,378754.089 4657789.499 0.0))",70
"POLYGON ((378767.279 4657804.809 0.0,378785.689 4657803.499 0.0,378776.999 4657782.539 0.0,378767.279 4657804.809 0.0))",71
"POLYGON ((378894.539 4657706.119 0.0,378885.589 4657691.499 0.0,378877.809 4657709.999 0.0,378894.539 4657706.119 0.0))",72
"POLYGON ((378894.539 4657706.119 0.0,378899.899 4657691.549 0.0,378885.589 4657691.499 0.0,378894.539 4657706.119 0.0))",73
"POLYGON ((378894.539 4657706.119 0.0,378905.499 4657718.499 0.0,378911.409 4657698.999 0.0,378894.539 4657706.119 0.0))",74
"POLYGON ((378894.539 4657706.119 0.0,378911.409 4657698.999 0.0,378899.899 4657691.549 0.0,378894.539 4657706.119 0.0))",75
"POLYGON ((378785.689 4657803.499 0.0,378767.279 4657804.809 0.0,378779.589 4657822.499 0.0,378785.689 4657803.499 0.0))",76
"POLYGON ((378747.999 4657808.499 0.0,378767.279 4657804.809 0.0,378754.089 4657789.499 0.0,378747.999 4657808.499 0.0))",77
"POLYGON ((378681.689 4658097.499 0.0,378690.889 4658113.989 0.0,378696.909 4658095.999 0.0,378681.689 4658097.499 0.0))",78
"POLYGON ((378806.129 4657814.009 0.0,378820.409 4657827.499 0.0,378826.589 4657808.499 0.0,378806.129 4657814.009 0.0))",79
