WKT,node
"POINT (378740.549 4657881.359 0.0)",139
"POINT (378775.689 4657921.999 0.0)",140
"POINT (378755.909 4657920.499 0.0)",141
"POINT (378785.189 4657818.499 0.0)",142
"POINT (378820.409 4657827.499 0.0)",143
"POINT (378752.589 4657865.459 0.0)",144
"POINT (378774.909 4657836.499 0.0)",145
"POINT (378754.649 4657843.049 0.0)",146
"POINT (378843.189 4657929.499 0.0)",147
"POINT (378830.329 4657926.569 0.0)",148
"POINT (378809.469 4657920.519 0.0)",149
"POINT (378790.989 4657912.179 0.0)",150
"POINT (378759.439 4657892.729 0.0)",151
"POINT (378772.879 4657908.739 0.0)",152
"POINT (378814.309 4657846.499 0.0)",153
"POINT (378799.669 4657833.449 0.0)",154
"POINT (378778.999 4657837.499 0.0)",155
"POINT (378768.689 4657855.999 0.0)",156
"POINT (378848.999 4657910.499 0.0)",157
"POINT (378825.909 4657911.679 0.0)",158
"POINT (378784.269 4657895.249 0.0)",159
"POINT (378776.129 4657874.989 0.0)",160
"POINT (378808.659 4657899.599 0.0)",161
"POINT (378809.089 4657862.499 0.0)",162
"POINT (378792.989 4657856.699 0.0)",163
"POINT (378831.169 4657893.539 0.0)",164
"POINT (378854.809 4657891.499 0.0)",165
"POINT (378803.089 4657881.499 0.0)",166
"POINT (378817.619 4657881.529 0.0)",167
"POINT (378860.499 4657871.999 0.0)",168
"POINT (378836.849 4657871.359 0.0)",169
"POINT (378848.689 4657856.809 0.0)",170
"POINT (378819.589 4657842.999 0.0)",171
"POINT (378812.499 4657863.999 0.0)",172
"POINT (378866.309 4657852.999 0.0)",173
"POINT (378829.689 4657845.999 0.0)",174
"POINT (378852.139 4657840.459 0.0)",175
"POINT (378880.499 4657840.999 0.0)",176
"POINT (378871.809 4657839.499 0.0)",177
"POINT (378838.409 4657821.499 0.0)",178
"POINT (378862.059 4657822.329 0.0)",179
"POINT (378885.089 4657826.999 0.0)",180
"POINT (378890.499 4657807.499 0.0)",181
"POINT (378844.689 4657802.499 0.0)",182
"POINT (378880.189 4657802.999 0.0)",183
"POINT (378850.999 4657783.499 0.0)",184
"POINT (378863.189 4657744.999 0.0)",185
"POINT (378857.189 4657764.499 0.0)",186
"POINT (378887.809 4657775.499 0.0)",187
"POINT (378874.619 4657771.609 0.0)",188
"POINT (378877.849 4657746.659 0.0)",189
"POINT (378893.689 4657756.499 0.0)",190
"POINT (378869.089 4657725.999 0.0)",191
"POINT (378899.589 4657737.499 0.0)",192
"POINT (378877.809 4657709.999 0.0)",193
"POINT (378887.499 4657724.809 0.0)",194
"POINT (378905.499 4657718.499 0.0)",195
"POINT (378894.539 4657706.119 0.0)",196
"POINT (378854.909 4657665.499 0.0)",197
"POINT (378824.589 4657650.999 0.0)",198
"POINT (378911.409 4657698.999 0.0)",199
"POINT (378885.589 4657691.499 0.0)",200
"POINT (378864.909 4657674.499 0.0)",201
"POINT (378873.809 4657678.499 0.0)",202
"POINT (378838.189 4657657.499 0.0)",203
"POINT (378859.409 4657654.999 0.0)",204
"POINT (378832.069 4657636.279 0.0)",205
"POINT (378810.089 4657643.999 0.0)",206
"POINT (378810.609 4657630.609 0.0)",207
"POINT (378899.899 4657691.549 0.0)",208
"POINT (378893.499 4657672.999 0.0)",209
"POINT (378886.089 4657679.499 0.0)",210
"POINT (378858.909 4657666.499 0.0)",211
"POINT (378874.019 4657668.019 0.0)",212
"POINT (378866.499 4657639.499 0.0)",213
"POINT (378850.129 4657636.879 0.0)",214
"POINT (378822.579 4657617.839 0.0)",215
"POINT (378842.039 4657614.439 0.0)",216
"POINT (378794.999 4657636.999 0.0)",217
"POINT (378792.189 4657622.699 0.0)",218
"POINT (378899.809 4657656.999 0.0)",219
"POINT (378917.309 4657679.999 0.0)",220
"POINT (378890.499 4657668.999 0.0)",221
"POINT (378862.909 4657655.999 0.0)",222
"POINT (378858.799 4657622.679 0.0)",223
"POINT (378863.799 4657601.549 0.0)",224
"POINT (378802.719 4657607.209 0.0)",225
"POINT (378825.929 4657598.159 0.0)",226
"POINT (378843.059 4657593.039 0.0)",227
"POINT (378776.909 4657628.499 0.0)",228
"POINT (378780.999 4657604.189 0.0)",229
"POINT (378923.189 4657660.999 0.0)",230
"POINT (378879.879 4657655.089 0.0)",231
"POINT (378895.189 4657657.499 0.0)",232
"POINT (378909.049 4657640.519 0.0)",233
"POINT (378869.809 4657640.999 0.0)",234
"POINT (378874.589 4657621.999 0.0)",235
"POINT (378868.429 4657584.119 0.0)",236
"POINT (378853.409 4657580.469 0.0)",237
"POINT (378797.259 4657589.529 0.0)",238
"POINT (378813.789 4657587.689 0.0)",239
"POINT (378832.589 4657576.669 0.0)",240
"POINT (378758.909 4657619.999 0.0)",241
"POINT (378763.289 4657592.939 0.0)",242
"POINT (378779.349 4657575.699 0.0)",243
"POINT (378929.089 4657641.999 0.0)",244
"POINT (378886.809 4657638.999 0.0)",245
"POINT (378876.999 4657625.499 0.0)",246
"POINT (378883.269 4657605.749 0.0)",247
"POINT (378881.179 4657591.259 0.0)",248
"POINT (378851.599 4657564.889 0.0)",249
"POINT (378882.059 4657576.199 0.0)",250
"POINT (378867.329 4657570.559 0.0)",251
