WKT,element
"POLYGON ((583101.152 5035164.941,583074.545 5035174.919,583069.387 5035160.921,583101.152 5035164.941))",59
"POLYGON ((583329.222 5035008.606,583373.29 5035021.078,583409.043 5035077.618,583329.222 5035008.606))",60
"POLYGON ((584322.623 5032397.264,584259.639 5032460.3,584257.976 5032412.075,584322.623 5032397.264))",61
"POLYGON ((584257.976 5032412.075,584306.201 5032335.579,584301.004 5032383.961,584257.976 5032412.075))",62
"POLYGON ((584324.286 5032350.702,584301.004 5032383.961,584306.201 5032335.579,584324.286 5032350.702))",63
"POLYGON ((584301.004 5032383.961,584322.623 5032397.264,584257.976 5032412.075,584301.004 5032383.961))",64
"POLYGON ((584291.235 5032568.392,584319.505 5032571.717,584302.875 5032591.673,584291.235 5032568.392))",65
"POLYGON ((584126.603 5032518.503,584291.235 5032568.392,584126.603 5032543.447,584126.603 5032518.503))",66
"POLYGON ((584302.875 5032591.673,584319.505 5032571.717,584342.578 5032589.438,584302.875 5032591.673))",67
"POLYGON ((584291.235 5032568.392,584302.875 5032591.673,584126.603 5032543.447,584291.235 5032568.392))",68
"POLYGON ((584306.201 5032335.579,584306.201 5032290.68,584349.711 5032336.949,584306.201 5032335.579))",69
"POLYGON ((584337.589 5032362.342,584301.004 5032383.961,584324.286 5032350.702,584337.589 5032362.342))",70
"POLYGON ((584306.201 5032335.579,584349.711 5032336.949,584324.286 5032350.702,584306.201 5032335.579))",71
"POLYGON ((584337.589 5032362.342,584349.711 5032336.949,584343.891 5032374.366,584337.589 5032362.342))",72
"POLYGON ((584349.711 5032336.949,584337.589 5032362.342,584324.286 5032350.702,584349.711 5032336.949))",73
"POLYGON ((584345.554 5032423.422,584343.891 5032374.366,584368.769 5032389.885,584345.554 5032423.422))",74
"POLYGON ((584337.589 5032362.342,584322.623 5032397.264,584301.004 5032383.961,584337.589 5032362.342))",75
"POLYGON ((584306.201 5032290.68,584322.83 5032262.41,584372.161 5032316.994,584306.201 5032290.68))",76
"POLYGON ((584322.623 5032397.264,584337.589 5032362.342,584343.891 5032374.366,584322.623 5032397.264))",77
"POLYGON ((584355.05 5032561.584,584342.578 5032589.438,584319.505 5032571.717,584355.05 5032561.584))",78
"POLYGON ((584259.639 5032460.3,584345.554 5032423.422,584334.471 5032473.604,584259.639 5032460.3))",79
"POLYGON ((584302.875 5032591.673,584342.578 5032589.438,584324.493 5032614.954,584302.875 5032591.673))",80
"POLYGON ((584259.639 5032460.3,584322.623 5032397.264,584345.554 5032423.422,584259.639 5032460.3))",81
"POLYGON ((584342.578 5032589.438,584384.685 5032599.435,584352.556 5032615.214,584342.578 5032589.438))",82
"POLYGON ((584334.471 5032473.604,584362.183 5032513.221,584359.415 5032543.447,584334.471 5032473.604))",83
"POLYGON ((584345.554 5032423.422,584357.194 5032473.311,584334.471 5032473.604,584345.554 5032423.422))",84
"POLYGON ((584342.578 5032589.438,584352.556 5032615.214,584324.493 5032614.954,584342.578 5032589.438))",85
"POLYGON ((584322.623 5032397.264,584343.891 5032374.366,584345.554 5032423.422,584322.623 5032397.264))",86
"POLYGON ((584387.893 5032355.379,584343.891 5032374.366,584349.711 5032336.949,584387.893 5032355.379))",87
"POLYGON ((584349.711 5032336.949,584306.201 5032290.68,584372.161 5032316.994,584349.711 5032336.949))",88
"POLYGON ((583409.043 5035077.618,583373.29 5035021.078,583393.245 5035035.213,583409.043 5035077.618))",89
"POLYGON ((583373.29 5035021.078,583421.099 5035018.739,583393.245 5035035.213,583373.29 5035021.078))",90
"POLYGON ((583424.009 5035122.517,583409.043 5035077.618,583456.021 5035106.875,583424.009 5035122.517))",91
"POLYGON ((583421.099 5035018.739,583409.043 5035077.618,583393.245 5035035.213,583421.099 5035018.739))",92
"POLYGON ((583432.39 5035171.593,583424.009 5035122.517,583454.774 5035162.428,583432.39 5035171.593))",93
"POLYGON ((583424.009 5035122.517,583329.637 5035249.057,583409.043 5035077.618,583424.009 5035122.517))",94
"POLYGON ((583329.637 5035249.057,583424.009 5035122.517,583415.76 5035184.896,583329.637 5035249.057))",95
"POLYGON ((583417.839 5035205.683,583329.637 5035249.057,583415.76 5035184.896,583417.839 5035205.683))",96
"POLYGON ((583428.232 5035233.953,583444.862 5035188.638,583453.592 5035209.841,583428.232 5035233.953))",97
"POLYGON ((583415.76 5035184.896,583428.232 5035233.953,583417.839 5035205.683,583415.76 5035184.896))",98
"POLYGON ((583432.39 5035171.593,583419.502 5035177.829,583424.009 5035122.517,583432.39 5035171.593))",99
"POLYGON ((583432.39 5035171.593,583444.862 5035188.638,583415.76 5035184.896,583432.39 5035171.593))",100
"POLYGON ((583432.39 5035171.593,583415.76 5035184.896,583419.502 5035177.829,583432.39 5035171.593))",101
"POLYGON ((583415.76 5035184.896,583424.009 5035122.517,583419.502 5035177.829,583415.76 5035184.896))",102
"POLYGON ((583417.839 5035205.683,583428.232 5035233.953,583329.637 5035249.057,583417.839 5035205.683))",103
"POLYGON ((583456.021 5035106.875,583409.043 5035077.618,583421.099 5035018.739,583456.021 5035106.875))",104
"POLYGON ((583376.2 5034985.48,583421.099 5035018.739,583373.29 5035021.078,583376.2 5034985.48))",105
"POLYGON ((583444.862 5035188.638,583454.774 5035162.428,583483.044 5035183.215,583444.862 5035188.638))",106
"POLYGON ((583444.862 5035188.638,583432.39 5035171.593,583454.774 5035162.428,583444.862 5035188.638))",107
"POLYGON ((583456.021 5035106.875,583524.202 5035185.034,583483.044 5035183.215,583456.021 5035106.875))",108
"POLYGON ((583444.862 5035188.638,583483.044 5035183.215,583453.592 5035209.841,583444.862 5035188.638))",109
"POLYGON ((583456.021 5035106.875,583483.044 5035183.215,583454.774 5035162.428,583456.021 5035106.875))",110
"POLYGON ((583424.009 5035122.517,583456.021 5035106.875,583454.774 5035162.428,583424.009 5035122.517))",111
"POLYGON ((583508.82 5035229.777,583483.044 5035183.215,583524.202 5035185.034,583508.82 5035229.777))",112
"POLYGON ((583453.592 5035209.841,583467.311 5035218.571,583468.974 5035232.706,583453.592 5035209.841))",113
"POLYGON ((583453.592 5035209.841,583483.044 5035183.215,583467.311 5035218.571,583453.592 5035209.841))",114
"POLYGON ((583468.974 5035232.706,583467.311 5035218.571,583508.82 5035229.777,583468.974 5035232.706))",115
"POLYGON ((583453.592 5035209.841,583468.974 5035232.706,583428.232 5035233.953,583453.592 5035209.841))",116
"POLYGON ((583524.202 5035185.034,583526.696 5035231.596,583508.82 5035229.777,583524.202 5035185.034))",117
"POLYGON ((583508.82 5035229.777,583467.311 5035218.571,583483.044 5035183.215,583508.82 5035229.777))",118
"POLYGON ((583468.974 5035232.706,583508.82 5035229.777,583484.357 5035260.56,583468.974 5035232.706))",119
"POLYGON ((583526.696 5035231.596,583524.202 5035185.034,583545.82 5035209.978,583526.696 5035231.596))",120
"POLYGON ((583428.232 5035233.953,583468.974 5035232.706,583435.716 5035257.65,583428.232 5035233.953))",121
"POLYGON ((583415.76 5035184.896,583444.862 5035188.638,583428.232 5035233.953,583415.76 5035184.896))",122
"POLYGON ((583428.232 5035233.953,583364.559 5035284.81,583329.637 5035249.057,583428.232 5035233.953))",123
"POLYGON ((583526.696 5035231.596,583514.64 5035276.34,583508.82 5035229.777,583526.696 5035231.596))",124
"POLYGON ((582913.841 5035307.227,582863.182 5035217.461,582918.253 5035270.827,582913.841 5035307.227))",125
"POLYGON ((582747.282 5035354.658,582804.147 5035193.348,582760.519 5035352.452,582747.282 5035354.658))",126
"POLYGON ((582920.459 5035285.166,582918.253 5035270.827,582919.356 5035262.002,582920.459 5035285.166))",127
