WKT,cat
"LINESTRING (378424.048 4656843.129 0.0,378446.083 4656834.826 0.0,378474.331 4656824.182 0.0,378496.879 4656815.685 0.0,378516.137 4656808.428 0.0,378503.01 4656779.302 0.0,378491.664 4656754.128 0.0,378481.099 4656730.688 0.0,378473.429 4656713.67 0.0,378444.367 4656724.926 0.0,378419.75 4656734.461 0.0,378397.68 4656743.009 0.0,378378.67 4656750.372 0.0,378391.93 4656777.603 0.0,378402.709 4656799.737 0.0,378414.078 4656823.083 0.0,378424.048 4656843.129 0.0)",2.0
"LINESTRING (379028.594 4657511.5 0.0,379023.427 4657501.085 0.0,379016.863 4657487.853 0.0,379010.896 4657475.825 0.0,379004.595 4657463.124 0.0,378999.157 4657452.163 0.0,378993.785 4657441.334 0.0,378988.15 4657429.974 0.0,378980.79 4657415.137 0.0,378973.163 4657399.763 0.0,378966.862 4657387.062 0.0,378960.695 4657374.632 0.0,378941.656 4657367.249 0.0,378924.904 4657360.754 0.0,378908.957 4657354.57 0.0,378895.668 4657349.417 0.0,378881.864 4657344.065 0.0,378868.285 4657338.799 0.0,378855.858 4657333.98 0.0,378850.082 4657350.693 0.0,378845.321 4657364.47 0.0,378840.326 4657378.923 0.0,378836.02 4657391.383 0.0,378831.362 4657404.861 0.0,378826.193 4657419.819 0.0,378820.683 4657435.763 0.0,378815.684 4657450.228 0.0,378810.824 4657464.292 0.0,378805.578 4657479.47 0.0,378823.073 4657487.34 0.0,378841.178 4657495.486 0.0,378858.077 4657503.088 0.0,378871.424 4657509.093 0.0,378885.633 4657515.485 0.0,378884.831 4657529.117 0.0,378883.987 4657543.473 0.0,378883.025 4657559.825 0.0,378882.062 4657576.196 0.0,378881.176 4657591.261 0.0,378900.288 4657596.42 0.0,378919.275 4657601.545 0.0)",3.0
"LINESTRING (378986.37 4657654.556 0.0,378995.052 4657643.28 0.0,379003.485 4657632.263 0.0,379011.283 4657622.284 0.0,379018.776 4657612.533 0.0,379024.938 4657604.465 0.0,379031.007 4657596.583 0.0,379038.0 4657587.5 0.0)",4.0
